members,title,tag,date,info,pdf_link,code_link,data_link
Seiji Sugiyama:Risa Kondo:Tomoyuki Kajiwara:Takashi Ninomiya,Paraphrase-based Contrastive Learning for Sentence Pair Modeling.,平易化:対話,2025/05,"In Proceedings of the NAACL 2025 Student Research Workshop (NAACL 2025 SRW), pp.xxx-xxx, New Mexico, USA, May 2025. (to appear)",,,,
Tatsuya Zetsu:Yuki Arase:Tomoyuki Kajiwara,Edit-Constrained Decoding for Sentence Simplification.,平易化,2024/11,"In Findings of the Association for Computational Linguistics: EMNLP 2024, pp.7161-7173, Miami, USA, November 2024.",https://aclanthology.org/2024.findings-emnlp.419/,,,
